# t     dt     X_CO      X_C     X_O    X_solidC   	X_Mg      X_Si     X_SiO       X_Mg2SiO4    adap_flag     sat_Cg    lnsat_Sig
97024.60938 1000.00000 0.00245 0.00695 0.09360 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
98024.60938 1000.00000 0.00251 0.00692 0.09357 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
99024.60938 1000.00000 0.00256 0.00690 0.09354 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
100024.60938 1000.00000 0.00262 0.00688 0.09350 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
101024.60938 1000.00000 0.00268 0.00685 0.09347 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
102024.60938 1000.00000 0.00274 0.00683 0.09344 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
103024.60938 1000.00000 0.00280 0.00680 0.09340 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
104024.60938 1000.00000 0.00286 0.00678 0.09337 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
105024.60938 1000.00000 0.00292 0.00675 0.09333 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
106024.60938 1000.00000 0.00298 0.00672 0.09330 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
107024.60938 1000.00000 0.00304 0.00670 0.09326 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
108024.60938 1000.00000 0.00311 0.00667 0.09323 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
109024.60938 1000.00000 0.00317 0.00664 0.09319 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
110024.60938 1000.00000 0.00324 0.00661 0.09315 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
111024.60938 1000.00000 0.00330 0.00658 0.09311 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
112024.60938 1000.00000 0.00337 0.00656 0.09308 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
113024.60938 1000.00000 0.00344 0.00653 0.09304 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
114024.60938 1000.00000 0.00351 0.00650 0.09300 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
115024.60938 1000.00000 0.00358 0.00647 0.09296 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
116024.60938 1000.00000 0.00365 0.00644 0.09292 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
117024.60938 1000.00000 0.00372 0.00641 0.09288 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
118024.60938 1000.00000 0.00379 0.00637 0.09284 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
119024.60938 1000.00000 0.00386 0.00634 0.09279 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
120024.60938 1000.00000 0.00394 0.00631 0.09275 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
121024.60938 1000.00000 0.00401 0.00628 0.09271 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
122024.60938 1000.00000 0.00409 0.00625 0.09267 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
123024.60938 1000.00000 0.00416 0.00621 0.09262 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
124024.60938 1000.00000 0.00424 0.00618 0.09258 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
125024.60938 1000.00000 0.00432 0.00615 0.09253 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
126024.60938 1000.00000 0.00440 0.00611 0.09249 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
127024.60938 1000.00000 0.00448 0.00608 0.09244 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
128024.60938 1000.00000 0.00456 0.00605 0.09240 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
129024.60938 1000.00000 0.00464 0.00601 0.09235 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
130024.60938 1000.00000 0.00472 0.00598 0.09231 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
131024.60938 1000.00000 0.00480 0.00594 0.09226 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
132024.60938 1000.00000 0.00488 0.00591 0.09221 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
133024.60938 1000.00000 0.00497 0.00587 0.09216 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
134024.60938 1000.00000 0.00505 0.00583 0.09211 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
135024.60938 1000.00000 0.00514 0.00580 0.09207 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
136024.60938 1000.00000 0.00522 0.00576 0.09202 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
137024.60938 1000.00000 0.00531 0.00572 0.09197 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
138024.60938 1000.00000 0.00539 0.00569 0.09192 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
139024.60938 1000.00000 0.00548 0.00565 0.09187 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
140024.60938 1000.00000 0.00557 0.00561 0.09182 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
141024.60938 1000.00000 0.00566 0.00557 0.09177 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
142024.60938 1000.00000 0.00575 0.00554 0.09172 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
143024.60938 1000.00000 0.00584 0.00550 0.09167 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
