# t     n_CO      n_C      n_O       n_solidC    n_Mg      	n_Si      n_SiO    n_Mg2SiO4  ncritical_Cg     ncritical_Sig
15664024.60938 3887495.60028 2.13576 30769434.94452 0.00000 161558.21450 0.00111 159247.19704 0.00000 0.00000 0.00000 
15665024.60938 3886156.74219 2.13502 30758837.91467 0.00000 161502.57366 0.00111 159192.35212 0.00000 0.00000 0.00000 
15666024.60938 3884817.88410 2.13429 30748240.88483 0.00000 161446.93282 0.00111 159137.50719 0.00000 0.00000 0.00000 
15667024.60938 3883479.02601 2.13356 30737643.85499 0.00000 161391.29198 0.00111 159082.66227 0.00000 0.00000 0.00000 
15668024.60938 3882140.16791 2.13282 30727046.82515 0.00000 161335.65114 0.00111 159027.81735 0.00000 0.00000 0.00000 
15669024.60938 3880801.30982 2.13209 30716449.79531 0.00000 161280.01030 0.00111 158972.97242 0.00000 0.00000 0.00000 
15670024.60938 3879462.45173 2.13135 30705852.76546 0.00000 161224.36946 0.00111 158918.12750 0.00000 0.00000 0.00000 
15671024.60938 3878124.63554 2.13062 30695263.98222 0.00000 161168.77192 0.00111 158863.32526 0.00000 0.00000 0.00000 
15672024.60938 3876786.84649 2.12989 30684675.41381 0.00000 161113.17551 0.00111 158808.52413 0.00000 0.00000 0.00000 
15673024.60938 3875449.05744 2.12915 30674086.84541 0.00000 161057.57909 0.00111 158753.72299 0.00000 0.00000 0.00000 
15674024.60938 3874111.26839 2.12842 30663498.27700 0.00000 161001.98268 0.00111 158698.92186 0.00000 0.00000 0.00000 
15675024.60938 3872773.47934 2.12768 30652909.70860 0.00000 160946.38627 0.00111 158644.12073 0.00000 0.00000 0.00000 
15676024.60938 3871435.69029 2.12695 30642321.14019 0.00000 160890.78985 0.00111 158589.31960 0.00000 0.00000 0.00000 
15677024.60938 3870097.90124 2.12622 30631732.57179 0.00000 160835.19344 0.00111 158534.51847 0.00000 0.00000 0.00000 
15678024.60938 3868760.11219 2.12548 30621144.00338 0.00000 160779.59703 0.00111 158479.71734 0.00000 0.00000 0.00000 
15679024.60938 3867422.32314 2.12475 30610555.43498 0.00000 160724.00062 0.00111 158424.91621 0.00000 0.00000 0.00000 
15680024.60938 3866084.53409 2.12402 30599966.86657 0.00000 160668.40420 0.00111 158370.11508 0.00000 0.00000 0.00000 
15681024.60938 3864746.74504 2.12328 30589378.29817 0.00000 160612.80779 0.00111 158315.31395 0.00000 0.00000 0.00000 
15682024.60938 3863408.95599 2.12255 30578789.72976 0.00000 160557.21138 0.00111 158260.51281 0.00000 0.00000 0.00000 
15683024.60938 3862071.16694 2.12181 30568201.16136 0.00000 160501.61496 0.00111 158205.71168 0.00000 0.00000 0.00000 
15684024.60938 3860836.34899 2.12114 30558427.60672 0.00000 160450.29787 0.00111 158155.12866 0.00000 0.00000 0.00000 
15685024.60938 3859893.67656 2.12062 30550966.37689 0.00000 160411.12188 0.00111 158116.51306 0.00000 0.00000 0.00000 
