# t     n_CO      n_C      n_O       n_solidC    n_Mg      	n_Si      n_SiO    n_Mg2SiO4  ncritical_Cg     ncritical_Sig
11809050.00000 84900350.34490 9082.04932 42588516.77378 0.00000 421337.40652 0.00419 433531.45448 0.00000 0.00000 0.00000 
11810050.00000 84872574.24645 9079.07819 42574583.46481 0.00000 421199.56128 0.00419 433389.61982 0.00000 0.00000 0.00000 
11811050.00000 84844798.14800 9076.10707 42560650.15583 0.00000 421061.71604 0.00419 433247.78516 0.00000 0.00000 0.00000 
11812050.00000 84817022.04955 9073.13594 42546716.84686 0.00000 420923.87080 0.00418 433105.95050 0.00000 0.00000 0.00000 
11813050.00000 84789250.98079 9070.16535 42532786.06093 0.00000 420786.05052 0.00418 432964.14153 0.00000 0.00000 0.00000 
11814050.00000 84761496.37671 9067.19652 42518863.53416 0.00000 420648.31195 0.00418 432822.41663 0.00000 0.00000 0.00000 
11815050.00000 84733741.77263 9064.22770 42504941.00740 0.00000 420510.57338 0.00418 432680.69173 0.00000 0.00000 0.00000 
11816050.00000 84705987.16856 9061.25887 42491018.48063 0.00000 420372.83481 0.00418 432538.96682 0.00000 0.00000 0.00000 
11817050.00000 84678232.56448 9058.29004 42477095.95387 0.00000 420235.09624 0.00418 432397.24192 0.00000 0.00000 0.00000 
11818050.00000 84650477.96040 9055.32121 42463173.42710 0.00000 420097.35767 0.00418 432255.51702 0.00000 0.00000 0.00000 
11819050.00000 84622723.35632 9052.35239 42449250.90034 0.00000 419959.61910 0.00417 432113.79212 0.00000 0.00000 0.00000 
11820050.00000 84594968.75225 9049.38356 42435328.37357 0.00000 419821.88053 0.00417 431972.06722 0.00000 0.00000 0.00000 
11821050.00000 84567214.14817 9046.41473 42421405.84681 0.00000 419684.14196 0.00417 431830.34232 0.00000 0.00000 0.00000 
11822050.00000 84539459.54409 9043.44590 42407483.32004 0.00000 419546.40339 0.00417 431688.61741 0.00000 0.00000 0.00000 
11823050.00000 84511704.94002 9040.47707 42393560.79328 0.00000 419408.66482 0.00417 431546.89251 0.00000 0.00000 0.00000 
11824050.00000 84483974.36776 9037.51082 42379650.32158 0.00000 419271.04552 0.00417 431405.29033 0.00000 0.00000 0.00000 
11825050.00000 84456246.58491 9034.54486 42365741.24913 0.00000 419133.44005 0.00417 431263.70238 0.00000 0.00000 0.00000 
11826050.00000 84428518.80205 9031.57890 42351832.17668 0.00000 418995.83459 0.00416 431122.11444 0.00000 0.00000 0.00000 
11827050.00000 84400791.01920 9028.61294 42337923.10423 0.00000 418858.22913 0.00416 430980.52650 0.00000 0.00000 0.00000 
11828050.00000 84373063.23635 9025.64698 42324014.03178 0.00000 418720.62366 0.00416 430838.93855 0.00000 0.00000 0.00000 
11829050.00000 84345335.45350 9022.68102 42310104.95933 0.00000 418583.01820 0.00416 430697.35061 0.00000 0.00000 0.00000 
11830050.00000 84317607.67065 9019.71506 42296195.88688 0.00000 418445.41274 0.00416 430555.76267 0.00000 0.00000 0.00000 
11831050.00000 84289879.88780 9016.74910 42282286.81443 0.00000 418307.80727 0.00416 430414.17473 0.00000 0.00000 0.00000 
11832050.00000 84262152.10495 9013.78314 42268377.74198 0.00000 418170.20181 0.00416 430272.58678 0.00000 0.00000 0.00000 
11833050.00000 84234424.32210 9010.81717 42254468.66953 0.00000 418032.59635 0.00416 430130.99884 0.00000 0.00000 0.00000 
11834050.00000 84206708.27724 9007.85247 42240565.48520 0.00000 417895.04914 0.00415 429989.47083 0.00000 0.00000 0.00000 
11835050.00000 84179001.91407 9004.88880 42226667.15750 0.00000 417757.54997 0.00415 429847.99227 0.00000 0.00000 0.00000 
11836050.00000 84151295.55091 9001.92513 42212768.82979 0.00000 417620.05081 0.00415 429706.51370 0.00000 0.00000 0.00000 
11837050.00000 84123589.18775 8998.96146 42198870.50208 0.00000 417482.55165 0.00415 429565.03514 0.00000 0.00000 0.00000 
11838050.00000 84095882.82458 8995.99779 42184972.17438 0.00000 417345.05248 0.00415 429423.55657 0.00000 0.00000 0.00000 
11839050.00000 84068176.46142 8993.03412 42171073.84667 0.00000 417207.55332 0.00415 429282.07800 0.00000 0.00000 0.00000 
11840050.00000 84040470.09825 8990.07045 42157175.51897 0.00000 417070.05416 0.00415 429140.59944 0.00000 0.00000 0.00000 
11841050.00000 84012763.73509 8987.10678 42143277.19126 0.00000 416932.55499 0.00414 428999.12087 0.00000 0.00000 0.00000 
11842050.00000 83985057.37193 8984.14311 42129378.86355 0.00000 416795.05583 0.00414 428857.64230 0.00000 0.00000 0.00000 
11843050.00000 83957351.00876 8981.17944 42115480.53585 0.00000 416657.55667 0.00414 428716.16374 0.00000 0.00000 0.00000 
11844050.00000 83929649.77740 8978.21632 42101584.78240 0.00000 416520.08297 0.00414 428574.71138 0.00000 0.00000 0.00000 
11845050.00000 83901970.14235 8975.25550 42087699.86230 0.00000 416382.71645 0.00414 428433.36929 0.00000 0.00000 0.00000 
11846050.00000 83874290.50730 8972.29469 42073814.94221 0.00000 416245.34993 0.00414 428292.02721 0.00000 0.00000 0.00000 
11847050.00000 83846610.87225 8969.33388 42059930.02211 0.00000 416107.98341 0.00414 428150.68513 0.00000 0.00000 0.00000 
11848050.00000 83818931.23720 8966.37307 42046045.10201 0.00000 415970.61690 0.00414 428009.34304 0.00000 0.00000 0.00000 
11849050.00000 83791251.60215 8963.41226 42032160.18191 0.00000 415833.25038 0.00413 427868.00096 0.00000 0.00000 0.00000 
11850050.00000 83763571.96711 8960.45144 42018275.26182 0.00000 415695.88386 0.00413 427726.65888 0.00000 0.00000 0.00000 
11851050.00000 83735892.33206 8957.49063 42004390.34172 0.00000 415558.51734 0.00413 427585.31679 0.00000 0.00000 0.00000 
11852050.00000 83708212.69701 8954.52982 41990505.42162 0.00000 415421.15082 0.00413 427443.97471 0.00000 0.00000 0.00000 
11853050.00000 83680533.06196 8951.56901 41976620.50152 0.00000 415283.78430 0.00413 427302.63263 0.00000 0.00000 0.00000 
11854050.00000 83652853.42691 8948.60819 41962735.58142 0.00000 415146.41778 0.00413 427161.29055 0.00000 0.00000 0.00000 
11855050.00000 83625193.62516 8945.64950 41948860.61029 0.00000 415009.14969 0.00413 427020.04974 0.00000 0.00000 0.00000 
11856050.00000 83597538.00136 8942.69126 41934987.73494 0.00000 414871.90233 0.00412 426878.83026 0.00000 0.00000 0.00000 
11857050.00000 83569882.37756 8939.73301 41921114.85959 0.00000 414734.65498 0.00412 426737.61079 0.00000 0.00000 0.00000 
11858050.00000 83542226.75376 8936.77477 41907241.98424 0.00000 414597.40762 0.00412 426596.39132 0.00000 0.00000 0.00000 
11859050.00000 83514571.12997 8933.81652 41893369.10889 0.00000 414460.16026 0.00412 426455.17185 0.00000 0.00000 0.00000 
11860050.00000 83486915.50617 8930.85828 41879496.23354 0.00000 414322.91290 0.00412 426313.95237 0.00000 0.00000 0.00000 
11861050.00000 83459259.88237 8927.90003 41865623.35819 0.00000 414185.66555 0.00412 426172.73290 0.00000 0.00000 0.00000 
11862050.00000 83431604.25857 8924.94178 41851750.48284 0.00000 414048.41819 0.00412 426031.51343 0.00000 0.00000 0.00000 
11863050.00000 83403948.63478 8921.98354 41837877.60749 0.00000 413911.17083 0.00411 425890.29395 0.00000 0.00000 0.00000 
11864050.00000 83376293.01098 8919.02529 41824004.73214 0.00000 413773.92347 0.00411 425749.07448 0.00000 0.00000 0.00000 
11865050.00000 83348648.19749 8916.06820 41810137.27956 0.00000 413636.72976 0.00411 425607.91021 0.00000 0.00000 0.00000 
11866050.00000 83321016.54332 8913.11252 41796276.42808 0.00000 413499.60136 0.00411 425466.81313 0.00000 0.00000 0.00000 
11867050.00000 83293384.88915 8910.15684 41782415.57660 0.00000 413362.47296 0.00411 425325.71606 0.00000 0.00000 0.00000 
11868050.00000 83265753.23498 8907.20116 41768554.72512 0.00000 413225.34456 0.00411 425184.61898 0.00000 0.00000 0.00000 
11869050.00000 83238121.58081 8904.24547 41754693.87364 0.00000 413088.21615 0.00411 425043.52191 0.00000 0.00000 0.00000 
11870050.00000 83210489.92664 8901.28979 41740833.02216 0.00000 412951.08775 0.00411 424902.42483 0.00000 0.00000 0.00000 
11871050.00000 83182858.27247 8898.33411 41726972.17068 0.00000 412813.95935 0.00410 424761.32775 0.00000 0.00000 0.00000 
11872050.00000 83155226.61830 8895.37843 41713111.31920 0.00000 412676.83095 0.00410 424620.23068 0.00000 0.00000 0.00000 
11873050.00000 83127594.96414 8892.42274 41699250.46772 0.00000 412539.70254 0.00410 424479.13360 0.00000 0.00000 0.00000 
11874050.00000 83099963.30997 8889.46706 41685389.61624 0.00000 412402.57414 0.00410 424338.03653 0.00000 0.00000 0.00000 
11875050.00000 83072333.08099 8886.51153 41671529.47968 0.00000 412265.45281 0.00410 424196.94673 0.00000 0.00000 0.00000 
11876050.00000 83044722.69830 8883.55812 41657679.29860 0.00000 412128.42997 0.00410 424055.95827 0.00000 0.00000 0.00000 
11877050.00000 83017112.31562 8880.60471 41643829.11752 0.00000 411991.40713 0.00410 423914.96982 0.00000 0.00000 0.00000 
11878050.00000 82989501.93293 8877.65131 41629978.93644 0.00000 411854.38430 0.00409 423773.98136 0.00000 0.00000 0.00000 
11879050.00000 82961891.55024 8874.69790 41616128.75537 0.00000 411717.36146 0.00409 423632.99291 0.00000 0.00000 0.00000 
11880050.00000 82934281.16756 8871.74449 41602278.57429 0.00000 411580.33862 0.00409 423492.00445 0.00000 0.00000 0.00000 
11881050.00000 82906670.78487 8868.79108 41588428.39321 0.00000 411443.31578 0.00409 423351.01599 0.00000 0.00000 0.00000 
11882050.00000 82879060.40219 8865.83767 41574578.21213 0.00000 411306.29294 0.00409 423210.02754 0.00000 0.00000 0.00000 
11883050.00000 82851450.01950 8862.88426 41560728.03105 0.00000 411169.27010 0.00409 423069.03908 0.00000 0.00000 0.00000 
11884050.00000 82823839.63682 8859.93085 41546877.84997 0.00000 411032.24727 0.00409 422928.05063 0.00000 0.00000 0.00000 
11885050.00000 82796229.25413 8856.97744 41533027.66889 0.00000 410895.22443 0.00408 422787.06217 0.00000 0.00000 0.00000 
11886050.00000 82768636.78820 8854.02595 41519186.47538 0.00000 410758.29051 0.00408 422646.16520 0.00000 0.00000 0.00000 
11887050.00000 82741052.94886 8851.07538 41505349.60922 0.00000 410621.39939 0.00408 422505.31229 0.00000 0.00000 0.00000 
11888050.00000 82713469.10951 8848.12481 41491512.74306 0.00000 410484.50828 0.00408 422364.45937 0.00000 0.00000 0.00000 
11889050.00000 82685885.27017 8845.17424 41477675.87690 0.00000 410347.61717 0.00408 422223.60646 0.00000 0.00000 0.00000 
11890050.00000 82658301.43082 8842.22367 41463839.01074 0.00000 410210.72606 0.00408 422082.75354 0.00000 0.00000 0.00000 
11891050.00000 82630717.59148 8839.27310 41450002.14458 0.00000 410073.83495 0.00408 421941.90062 0.00000 0.00000 0.00000 
