# t     n_CO      n_C      n_O       n_solidC    n_Mg      	n_Si      n_SiO    n_Mg2SiO4  n_H    ncritical_Cg     ncritical_Sig
15317312.90894 38139743.51855 4.59678 97607.89448 4851601.50866 39.03681 0.02099 87645.25967 89313.08261 392197758415.84161 2.00000 2.00000 
15318312.90894 38132415.51578 4.59592 97589.14032 4850669.34333 39.02870 0.02098 87628.41959 89295.92269 392197758415.84161 2.00000 2.00000 
15319312.90894 38122807.47344 4.59480 97564.55104 4849447.14345 39.01826 0.02098 87606.33997 89273.42353 392197758415.84161 2.00000 2.00000 
15320312.90894 38113199.43110 4.59367 97539.96176 4848224.94358 39.00781 0.02097 87584.26035 89250.92437 392197758415.84161 2.00000 2.00000 
15321312.90894 38103591.38876 4.59254 97515.37248 4847002.74370 38.99737 0.02097 87562.18073 89228.42521 392197758415.84161 2.00000 2.00000 
15322312.90894 38093983.34641 4.59142 97490.78320 4845780.54383 38.98693 0.02096 87540.10111 89205.92605 392197758415.84161 2.00000 2.00000 
15323312.90894 38084375.30407 4.59029 97466.19392 4844558.34395 38.97649 0.02096 87518.02150 89183.42689 392197758415.84161 2.00000 2.00000 
15324312.90894 38074767.26173 4.58917 97441.60464 4843336.14407 38.96604 0.02095 87495.94188 89160.92772 392197758415.84161 2.00000 2.00000 
15325312.90894 38065159.21939 4.58804 97417.01536 4842113.94420 38.95560 0.02095 87473.86226 89138.42856 392197758415.84161 2.00000 2.00000 
15326312.90894 38055551.17705 4.58691 97392.42608 4840891.74432 38.94516 0.02094 87451.78264 89115.92940 392197758415.84161 2.00000 2.00000 
15327312.90894 38045943.13471 4.58579 97367.83680 4839669.54444 38.93472 0.02094 87429.70303 89093.43023 392197758415.84161 2.00000 2.00000 
15328312.90894 38036335.09237 4.58466 97343.24752 4838447.34457 38.92428 0.02093 87407.62341 89070.93107 392197758415.84161 2.00000 2.00000 
15329312.90894 38026727.05003 4.58353 97318.65824 4837225.14469 38.91384 0.02093 87385.54380 89048.43191 392197758415.84161 2.00000 2.00000 
15330312.90894 38017119.00768 4.58241 97294.06896 4836002.94481 38.90340 0.02092 87363.46418 89025.93274 392197758415.84161 2.00000 2.00000 
15331312.90894 38007513.16156 4.58128 97269.48531 4834781.02431 38.89297 0.02091 87341.38961 89003.43872 392197758415.84161 2.00000 2.00000 
15332312.90894 37997913.66786 4.58015 97244.91791 4833559.91187 38.88254 0.02091 87319.32964 88980.95958 392197758415.84161 2.00000 2.00000 
15333312.90894 37988314.17416 4.57903 97220.35051 4832338.79943 38.87211 0.02090 87297.26967 88958.48043 392197758415.84161 2.00000 2.00000 
15334312.90894 37978714.68045 4.57790 97195.78311 4831117.68699 38.86168 0.02090 87275.20970 88936.00128 392197758415.84161 2.00000 2.00000 
15335312.90894 37969115.18675 4.57678 97171.21571 4829896.57455 38.85126 0.02089 87253.14973 88913.52214 392197758415.84161 2.00000 2.00000 
15336312.90894 37959515.69305 4.57565 97146.64831 4828675.46211 38.84083 0.02089 87231.08976 88891.04299 392197758415.84161 2.00000 2.00000 
15337312.90894 37949916.19934 4.57452 97122.08091 4827454.34967 38.83040 0.02088 87209.02979 88868.56384 392197758415.84161 2.00000 2.00000 
15338312.90894 37940316.70564 4.57340 97097.51351 4826233.23723 38.81998 0.02088 87186.96982 88846.08470 392197758415.84161 2.00000 2.00000 
15339312.90894 37930717.21194 4.57227 97072.94611 4825012.12479 38.80955 0.02087 87164.90985 88823.60555 392197758415.84161 2.00000 2.00000 
15340312.90894 37921117.71824 4.57115 97048.37871 4823791.01235 38.79912 0.02087 87142.84988 88801.12640 392197758415.84161 2.00000 2.00000 
15341312.90894 37911518.22453 4.57002 97023.81131 4822569.89991 38.78870 0.02086 87120.78991 88778.64725 392197758415.84161 2.00000 2.00000 
15342312.90894 37901918.73083 4.56890 96999.24391 4821348.78747 38.77828 0.02086 87098.72995 88756.16811 392197758415.84161 2.00000 2.00000 
15343312.90894 37892319.23713 4.56777 96974.67651 4820127.67503 38.76785 0.02085 87076.66998 88733.68896 392197758415.84161 2.00000 2.00000 
15344312.90894 37882719.74342 4.56664 96950.10912 4818906.56259 38.75743 0.02085 87054.61001 88711.20981 392197758415.84161 2.00000 2.00000 
15345312.90894 37873126.88311 4.56552 96925.55869 4817686.29395 38.74701 0.02084 87032.56529 88688.74619 392197758415.84161 2.00000 2.00000 
15346312.90894 37863535.29658 4.56439 96901.01153 4816466.18735 38.73660 0.02084 87010.52349 88666.28556 392197758415.84161 2.00000 2.00000 
15347312.90894 37853943.71004 4.56327 96876.46437 4815246.08075 38.72618 0.02083 86988.48169 88643.82493 392197758415.84161 2.00000 2.00000 
15348312.90894 37844352.12350 4.56214 96851.91721 4814025.97415 38.71577 0.02083 86966.43990 88621.36430 392197758415.84161 2.00000 2.00000 
15349312.90894 37834760.53696 4.56102 96827.37005 4812805.86755 38.70536 0.02082 86944.39810 88598.90366 392197758415.84161 2.00000 2.00000 
15350312.90894 37825168.95043 4.55989 96802.82289 4811585.76094 38.69495 0.02081 86922.35631 88576.44303 392197758415.84161 2.00000 2.00000 
15351312.90894 37815577.36389 4.55877 96778.27573 4810365.65434 38.68453 0.02081 86900.31451 88553.98240 392197758415.84161 2.00000 2.00000 
15352312.90894 37805985.77735 4.55764 96753.72857 4809145.54774 38.67412 0.02080 86878.27272 88531.52176 392197758415.84161 2.00000 2.00000 
15353312.90894 37796394.19082 4.55652 96729.18140 4807925.44114 38.66371 0.02080 86856.23092 88509.06113 392197758415.84161 2.00000 2.00000 
15354312.90894 37786802.60428 4.55539 96704.63424 4806705.33453 38.65330 0.02079 86834.18913 88486.60049 392197758415.84161 2.00000 2.00000 
15355312.90894 37777211.01774 4.55427 96680.08708 4805485.22793 38.64289 0.02079 86812.14733 88464.13986 392197758415.84161 2.00000 2.00000 
15356312.90894 37767619.43121 4.55314 96655.53992 4804265.12133 38.63248 0.02078 86790.10554 88441.67922 392197758415.84161 2.00000 2.00000 
15357312.90894 37758027.84467 4.55202 96630.99276 4803045.01473 38.62207 0.02078 86768.06374 88419.21859 392197758415.84161 2.00000 2.00000 
15358312.90894 37748440.06053 4.55089 96606.45534 4801825.39181 38.61167 0.02077 86746.03069 88396.76686 392197758415.84161 2.00000 2.00000 
15359312.90894 37738857.75019 4.54977 96581.93192 4800606.46520 38.60127 0.02077 86724.01021 88374.32794 392197758415.84161 2.00000 2.00000 
15360312.90894 37729275.43985 4.54864 96557.40850 4799387.53858 38.59087 0.02076 86701.98973 88351.88903 392197758415.84161 2.00000 2.00000 
15361312.90894 37719693.12951 4.54752 96532.88508 4798168.61197 38.58047 0.02076 86679.96926 88329.45012 392197758415.84161 2.00000 2.00000 
15362312.90894 37710110.81917 4.54639 96508.36166 4796949.68535 38.57008 0.02075 86657.94878 88307.01120 392197758415.84161 2.00000 2.00000 
15363312.90894 37700528.50882 4.54527 96483.83824 4795730.75873 38.55968 0.02075 86635.92830 88284.57229 392197758415.84161 2.00000 2.00000 
15364312.90894 37690946.19848 4.54414 96459.31482 4794511.83212 38.54928 0.02074 86613.90783 88262.13337 392197758415.84161 2.00000 2.00000 
15365312.90894 37681363.88814 4.54302 96434.79140 4793292.90550 38.53889 0.02074 86591.88735 88239.69446 392197758415.84161 2.00000 2.00000 
15366312.90894 37671781.57780 4.54190 96410.26798 4792073.97889 38.52849 0.02073 86569.86688 88217.25554 392197758415.84161 2.00000 2.00000 
15367312.90894 37662199.26746 4.54077 96385.74456 4790855.05227 38.51810 0.02072 86547.84640 88194.81663 392197758415.84161 2.00000 2.00000 
15368312.90894 37652616.95712 4.53965 96361.22114 4789636.12565 38.50770 0.02072 86525.82593 88172.37771 392197758415.84161 2.00000 2.00000 
15369312.90894 37643034.64678 4.53852 96336.69773 4788417.19904 38.49731 0.02071 86503.80545 88149.93880 392197758415.84161 2.00000 2.00000 
15370312.90894 37633452.33644 4.53740 96312.17431 4787198.27242 38.48692 0.02071 86481.78498 88127.49988 392197758415.84161 2.00000 2.00000 
15371312.90894 37623870.02610 4.53627 96287.65089 4785979.34581 38.47652 0.02070 86459.76451 88105.06097 392197758415.84161 2.00000 2.00000 
15372312.90894 37614295.25690 4.53515 96263.14677 4784761.37847 38.46614 0.02070 86437.76136 88082.63971 392197758415.84161 2.00000 2.00000 
15373312.90894 37604720.73772 4.53403 96238.64329 4783543.44293 38.45575 0.02069 86415.75879 88060.21904 392197758415.84161 2.00000 2.00000 
15374312.90894 37595146.21855 4.53290 96214.13982 4782325.50740 38.44537 0.02069 86393.75622 88037.79836 392197758415.84161 2.00000 2.00000 
15375312.90894 37585571.69937 4.53178 96189.63634 4781107.57187 38.43499 0.02068 86371.75365 88015.37769 392197758415.84161 2.00000 2.00000 
15376312.90894 37575997.18020 4.53065 96165.13286 4779889.63633 38.42460 0.02068 86349.75109 87992.95702 392197758415.84161 2.00000 2.00000 
15377312.90894 37566422.66102 4.52953 96140.62938 4778671.70080 38.41422 0.02067 86327.74852 87970.53635 392197758415.84161 2.00000 2.00000 
15378312.90894 37556848.14184 4.52841 96116.12591 4777453.76526 38.40384 0.02067 86305.74595 87948.11567 392197758415.84161 2.00000 2.00000 
15379312.90894 37547273.62267 4.52728 96091.62243 4776235.82973 38.39346 0.02066 86283.74338 87925.69500 392197758415.84161 2.00000 2.00000 
15380312.90894 37537699.10349 4.52616 96067.11895 4775017.89419 38.38308 0.02066 86261.74081 87903.27433 392197758415.84161 2.00000 2.00000 
15381312.90894 37528124.58432 4.52504 96042.61547 4773799.95866 38.37270 0.02065 86239.73825 87880.85365 392197758415.84161 2.00000 2.00000 
15382312.90894 37518550.06514 4.52391 96018.11200 4772582.02312 38.36232 0.02065 86217.73568 87858.43298 392197758415.84161 2.00000 2.00000 
15383312.90894 37508975.54597 4.52279 95993.60852 4771364.08759 38.35194 0.02064 86195.73311 87836.01231 392197758415.84161 2.00000 2.00000 
15384312.90894 37499401.02679 4.52166 95969.10504 4770146.15206 38.34156 0.02064 86173.73054 87813.59163 392197758415.84161 2.00000 2.00000 
15385312.90894 37489830.92383 4.52054 95944.61287 4768928.77829 38.33119 0.02063 86151.73813 87791.18130 392197758415.84161 2.00000 2.00000 
15386312.90894 37480264.98134 4.51942 95920.13134 4767711.93376 38.32082 0.02062 86129.75527 87768.78071 392197758415.84161 2.00000 2.00000 
15387312.90894 37470699.03886 4.51829 95895.64982 4766495.08923 38.31045 0.02062 86107.77241 87746.38012 392197758415.84161 2.00000 2.00000 
15388312.90894 37461133.09637 4.51717 95871.16829 4765278.24470 38.30008 0.02061 86085.78956 87723.97953 392197758415.84161 2.00000 2.00000 
15389312.90894 37451567.15389 4.51605 95846.68677 4764061.40017 38.28971 0.02061 86063.80670 87701.57894 392197758415.84161 2.00000 2.00000 
15390312.90894 37442001.21140 4.51493 95822.20524 4762844.55564 38.27935 0.02060 86041.82384 87679.17834 392197758415.84161 2.00000 2.00000 
15391312.90894 37432435.26891 4.51380 95797.72371 4761627.71112 38.26898 0.02060 86019.84099 87656.77775 392197758415.84161 2.00000 2.00000 
15392312.90894 37422869.32643 4.51268 95773.24219 4760410.86659 38.25861 0.02059 85997.85813 87634.37716 392197758415.84161 2.00000 2.00000 
15393312.90894 37413303.38394 4.51156 95748.76066 4759194.02206 38.24825 0.02059 85975.87528 87611.97657 392197758415.84161 2.00000 2.00000 
15394312.90894 37403737.44146 4.51043 95724.27914 4757977.17753 38.23788 0.02058 85953.89242 87589.57598 392197758415.84161 2.00000 2.00000 
15395312.90894 37394171.49897 4.50931 95699.79761 4756760.33300 38.22752 0.02058 85931.90957 87567.17538 392197758415.84161 2.00000 2.00000 
15396312.90894 37384605.55649 4.50819 95675.31609 4755543.48847 38.21715 0.02057 85909.92671 87544.77479 392197758415.84161 2.00000 2.00000 
15397312.90894 37375039.61400 4.50706 95650.83456 4754326.64394 38.20679 0.02057 85887.94386 87522.37420 392197758415.84161 2.00000 2.00000 
15398312.90894 37365474.09443 4.50594 95626.35412 4753109.85321 38.19642 0.02056 85865.96197 87499.97459 392197758415.84161 2.00000 2.00000 
15399312.90894 37355916.62567 4.50482 95601.89428 4751894.08659 38.18607 0.02056 85843.99859 87477.59384 392197758415.84161 2.00000 2.00000 
15400312.90894 37346359.15691 4.50370 95577.43445 4750678.31996 38.17572 0.02055 85822.03521 87455.21309 392197758415.84161 2.00000 2.00000 
15401312.90894 37336801.68816 4.50257 95552.97461 4749462.55334 38.16536 0.02055 85800.07183 87432.83234 392197758415.84161 2.00000 2.00000 
15402312.90894 37327244.21940 4.50145 95528.51477 4748246.78672 38.15501 0.02054 85778.10845 87410.45159 392197758415.84161 2.00000 2.00000 
15403312.90894 37317686.75064 4.50033 95504.05493 4747031.02010 38.14466 0.02054 85756.14507 87388.07084 392197758415.84161 2.00000 2.00000 
15404312.90894 37308129.28188 4.49921 95479.59509 4745815.25348 38.13430 0.02053 85734.18169 87365.69009 392197758415.84161 2.00000 2.00000 
15405312.90894 37298571.81312 4.49808 95455.13526 4744599.48686 38.12395 0.02052 85712.21831 87343.30934 392197758415.84161 2.00000 2.00000 
15406312.90894 37289014.34437 4.49696 95430.67542 4743383.72024 38.11360 0.02052 85690.25493 87320.92858 392197758415.84161 2.00000 2.00000 
15407312.90894 37279456.87561 4.49584 95406.21558 4742167.95361 38.10325 0.02051 85668.29155 87298.54783 392197758415.84161 2.00000 2.00000 
15408312.90894 37269899.40685 4.49472 95381.75575 4740952.18699 38.09290 0.02051 85646.32817 87276.16708 392197758415.84161 2.00000 2.00000 
15409312.90894 37260341.93809 4.49360 95357.29591 4739736.42037 38.08255 0.02050 85624.36479 87253.78633 392197758415.84161 2.00000 2.00000 
15410312.90894 37250784.46934 4.49247 95332.83607 4738520.65375 38.07220 0.02050 85602.40141 87231.40557 392197758415.84161 2.00000 2.00000 
15411312.90894 37241227.00058 4.49135 95308.37624 4737304.88713 38.06185 0.02049 85580.43803 87209.02482 392197758415.84161 2.00000 2.00000 
15412312.90894 37231674.02245 4.49023 95283.92789 4736089.69174 38.05151 0.02049 85558.48497 87186.65458 392197758415.84161 2.00000 2.00000 
15413312.90894 37222124.39200 4.48911 95259.48812 4734874.92220 38.04117 0.02048 85536.53961 87164.29219 392197758415.84161 2.00000 2.00000 
15414312.90894 37212574.76155 4.48799 95235.04834 4733660.15265 38.03083 0.02048 85514.59424 87141.92979 392197758415.84161 2.00000 2.00000 
15415312.90894 37203025.13110 4.48686 95210.60857 4732445.38311 38.02049 0.02047 85492.64888 87119.56739 392197758415.84161 2.00000 2.00000 
15416312.90894 37193475.50064 4.48574 95186.16879 4731230.61357 38.01015 0.02047 85470.70351 87097.20499 392197758415.84161 2.00000 2.00000 
15417312.90894 37183925.87019 4.48462 95161.72902 4730015.84402 37.99981 0.02046 85448.75815 87074.84259 392197758415.84161 2.00000 2.00000 
