# t     n_CO      n_C      n_O       n_solidC    n_Mg      	n_Si      n_SiO    n_Mg2SiO4  ncritical_Cg     ncritical_Sig
3633649.38619 2137254646.21836 2243.22273 16916329073.62558 0.00000 88820992.43122 0.75648 87550448.01254 0.00000 0.00000 0.00000 
3634649.38619 2134965555.90476 2240.99800 16898210969.77510 0.00000 88725861.39104 0.75574 87456677.77911 0.00000 0.00000 0.00000 
3635649.38619 2132676465.59169 2238.77274 16880092865.92410 0.00000 88630730.35086 0.75500 87362907.54568 0.00000 0.00000 0.00000 
3636649.38619 2130388515.28312 2236.54815 16861983785.18179 0.00000 88535646.68748 0.75426 87269184.01135 0.00000 0.00000 0.00000 
3637649.38619 2128101460.37920 2234.32397 16843881791.54528 0.00000 88440600.23571 0.75352 87175497.15633 0.00000 0.00000 0.00000 
3638649.38619 2125814405.47581 2232.09925 16825779797.90825 0.00000 88345553.78394 0.75277 87081810.30131 0.00000 0.00000 0.00000 
3639649.38619 2123528103.56060 2229.87480 16807683764.15331 0.00000 88250538.62517 0.75203 86988154.29165 0.00000 0.00000 0.00000 
3640649.38619 2121243038.65598 2227.65112 16789597521.30847 0.00000 88155574.87462 0.75129 86894548.95485 0.00000 0.00000 0.00000 
3641649.38619 2118957973.75188 2225.42692 16771511278.46310 0.00000 88060611.12407 0.75055 86800943.61805 0.00000 0.00000 0.00000 
3642649.38619 2116673288.21848 2223.20259 16753428038.32479 0.00000 87965663.13956 0.74981 86707353.82176 0.00000 0.00000 0.00000 
3643649.38619 2114390179.97968 2220.97939 16735357282.43800 0.00000 87870780.70495 0.74907 86613828.63771 0.00000 0.00000 0.00000 
3644649.38619 2112107071.74141 2218.75566 16717286526.55069 0.00000 87775898.27033 0.74833 86520303.45365 0.00000 0.00000 0.00000 
3645649.38619 2109823976.76306 2216.53143 16699215875.61073 0.00000 87681016.38676 0.74759 86426778.81276 0.00000 0.00000 0.00000 
3646649.38619 2107542851.62835 2214.30874 16681160815.94036 0.00000 87586216.36682 0.74685 86333334.86447 0.00000 0.00000 0.00000 
3647649.38619 2105261726.49416 2212.08554 16663105756.26948 0.00000 87491416.34687 0.74611 86239890.91618 0.00000 0.00000 0.00000 
3648649.38619 2102980601.36050 2209.86181 16645050696.59808 0.00000 87396616.32693 0.74537 86146446.96789 0.00000 0.00000 0.00000 
3649649.38619 2100701127.03320 2207.63930 16627008703.02247 0.00000 87301884.91192 0.74463 86053070.64318 0.00000 0.00000 0.00000 
3650649.38619 2098422023.24717 2205.41666 16608969642.26920 0.00000 87207168.89600 0.74389 85959709.49728 0.00000 0.00000 0.00000 
3651649.38619 2096142919.46166 2203.19350 16590930581.51541 0.00000 87112452.88009 0.74314 85866348.35139 0.00000 0.00000 0.00000 
3652649.38619 2093865093.00539 2200.97116 16572901630.79318 0.00000 87017789.94799 0.74240 85773039.52996 0.00000 0.00000 0.00000 
3653649.38619 2091588036.59550 2198.74912 16554878774.96846 0.00000 86923159.01779 0.74166 85679762.25267 0.00000 0.00000 0.00000 
3654649.38619 2089310980.18611 2196.52657 16536855919.14322 0.00000 86828528.08760 0.74092 85586484.97538 0.00000 0.00000 0.00000 
3655649.38619 2087034755.76526 2194.30437 16518839648.48646 0.00000 86733931.73354 0.74018 85493241.77963 0.00000 0.00000 0.00000 
3656649.38619 2084759642.40886 2192.08283 16500832171.87879 0.00000 86639381.55357 0.73944 85400044.09747 0.00000 0.00000 0.00000 
3657649.38619 2082484529.05297 2189.86078 16482824695.27061 0.00000 86544831.37361 0.73870 85306846.41531 0.00000 0.00000 0.00000 
3658649.38619 2080209872.96701 2187.63870 16464820837.94046 0.00000 86450300.19705 0.73796 85213667.46473 0.00000 0.00000 0.00000 
3659649.38619 2077936749.58995 2185.41771 16446829111.96694 0.00000 86355832.71748 0.73722 85120551.29998 0.00000 0.00000 0.00000 
3660649.38619 2075663626.21339 2183.19622 16428837385.99292 0.00000 86261365.23791 0.73648 85027435.13523 0.00000 0.00000 0.00000 
3661649.38619 2073390559.02954 2180.97428 16410846104.77854 0.00000 86166900.09360 0.73574 84934321.27233 0.00000 0.00000 0.00000 
3662649.38619 2071119401.36544 2178.75383 16392869937.37142 0.00000 86072514.30595 0.73500 84841285.63094 0.00000 0.00000 0.00000 
3663649.38619 2068848243.70185 2176.53288 16374893769.96380 0.00000 85978128.51830 0.73426 84748249.98954 0.00000 0.00000 0.00000 
3664649.38619 2066577086.03876 2174.31142 16356917602.55567 0.00000 85883742.73066 0.73352 84655214.34814 0.00000 0.00000 0.00000 
3665649.38619 2064307580.69759 2172.09120 16338954513.23898 0.00000 85789425.61093 0.73278 84562246.39240 0.00000 0.00000 0.00000 
3666649.38619 2062038426.85444 2169.87083 16320994206.01781 0.00000 85695123.09889 0.73204 84469292.83540 0.00000 0.00000 0.00000 
3667649.38619 2059769273.01179 2167.64997 16303033898.79613 0.00000 85600820.58685 0.73130 84376339.27840 0.00000 0.00000 0.00000 
3668649.38619 2057501329.30083 2165.42987 16285083169.73886 0.00000 85506568.36599 0.73056 84283435.29318 0.00000 0.00000 0.00000 
3669649.38619 2055234134.27797 2163.21006 16267138366.52886 0.00000 85412347.25943 0.72982 84190561.97718 0.00000 0.00000 0.00000 
3670649.38619 2052966939.25561 2160.98975 16249193563.31836 0.00000 85318126.15287 0.72908 84097688.66118 0.00000 0.00000 0.00000 
3671649.38619 2050700588.11129 2158.76982 16231255439.38170 0.00000 85223940.11655 0.72834 84004849.91376 0.00000 0.00000 0.00000 
3672649.38619 2048435460.47378 2156.55068 16213326999.47335 0.00000 85129804.92726 0.72760 83912061.28603 0.00000 0.00000 0.00000 
3673649.38619 2046170332.83677 2154.33104 16195398559.56449 0.00000 85035669.73797 0.72686 83819272.65829 0.00000 0.00000 0.00000 
3674649.38619 2043905573.37408 2152.11129 16177473033.74376 0.00000 84941549.84941 0.72612 83726499.11242 0.00000 0.00000 0.00000 
3675649.38619 2041642327.18825 2149.89264 16159559485.47568 0.00000 84847492.85027 0.72538 83633787.55637 0.00000 0.00000 0.00000 
3676649.38619 2039379081.00292 2147.67349 16141645937.20711 0.00000 84753435.85113 0.72464 83541076.00031 0.00000 0.00000 0.00000 
3677649.38619 2037115834.81809 2145.45384 16123732388.93803 0.00000 84659378.85200 0.72390 83448364.44426 0.00000 0.00000 0.00000 
3678649.38619 2034854608.65863 2143.23583 16105834829.12627 0.00000 84565405.80197 0.72316 83355735.63646 0.00000 0.00000 0.00000 
3679649.38619 2032593422.70256 2141.01736 16087937587.51915 0.00000 84471434.42271 0.72242 83263108.47553 0.00000 0.00000 0.00000 
3680649.38619 2030332236.74699 2138.79840 16070040345.91154 0.00000 84377463.04344 0.72168 83170481.31459 0.00000 0.00000 0.00000 
3681649.38619 2028072533.64823 2136.58050 16052154841.08256 0.00000 84283553.28940 0.72094 83077914.89735 0.00000 0.00000 0.00000 
3682649.38619 2025813292.71357 2134.36260 16034272994.26902 0.00000 84189662.74215 0.72020 82985367.41217 0.00000 0.00000 0.00000 
3683649.38619 2023554051.77940 2132.14421 16016391147.45498 0.00000 84095772.19490 0.71946 82892819.92699 0.00000 0.00000 0.00000 
3684649.38619 2021295884.59311 2129.92646 15998517799.33028 0.00000 84001926.27094 0.71872 82800316.42677 0.00000 0.00000 0.00000 
3685649.38619 2019038626.62351 2127.70918 15980651647.63364 0.00000 83908118.13259 0.71798 82707850.17166 0.00000 0.00000 0.00000 
3686649.38619 2016781368.65439 2125.49141 15962785495.93651 0.00000 83814309.99424 0.71724 82615383.91656 0.00000 0.00000 0.00000 
