# t     n_CO      n_C      n_O       n_solidC    n_Mg      	n_Si      n_SiO    n_Mg2SiO4  n_H    ncritical_Cg     ncritical_Sig
5614747.96753 342787687.75550 70.71401 2704992746.32909 12841.51625 0.00000 0.02133 5834526.58710 8275621.97516 3921977584158.41602 2.00000 0.00000 
5615747.96753 342552831.24257 70.66865 2703139455.90103 12832.72263 0.00000 0.02132 5830529.13744 8269952.04090 3921977584158.41602 2.00000 0.00000 
5616747.96753 342318115.05786 70.62331 2701287272.82535 12823.93425 0.00000 0.02131 5826534.07629 8264285.49445 3921977584158.41602 2.00000 0.00000 
5617747.96753 342083459.25251 70.57798 2699435566.21279 12815.14812 0.00000 0.02129 5822540.04284 8258620.40570 3921977584158.41602 2.00000 0.00000 
5618747.96753 341848803.44717 70.53264 2697583859.60021 12806.36198 0.00000 0.02128 5818546.00939 8252955.31694 3921977584158.41602 2.00000 0.00000 
5619747.96753 341614147.64185 70.48729 2695732152.98762 12797.57584 0.00000 0.02127 5814551.97594 8247290.22818 3921977584158.41602 2.00000 0.00000 
5620747.96753 341379491.83655 70.44194 2693880446.37501 12788.78968 0.00000 0.02125 5810557.94249 8241625.13942 3921977584158.41602 2.00000 0.00000 
5621747.96753 341145000.70997 70.39662 2692030039.26861 12780.00968 0.00000 0.02124 5806566.71201 8235964.02636 3921977584158.41602 2.00000 0.00000 
5622747.96753 340910554.80214 70.35130 2690179988.99042 12771.23137 0.00000 0.02122 5802576.25118 8230304.00497 3921977584158.41602 2.00000 0.00000 
5623747.96753 340676108.89433 70.30597 2688329938.71221 12762.45305 0.00000 0.02121 5798585.79036 8224643.98358 3921977584158.41602 2.00000 0.00000 
5624747.96753 340441662.98653 70.26064 2686479888.43398 12753.67471 0.00000 0.02120 5794595.32954 8218983.96219 3921977584158.41602 2.00000 0.00000 
5625747.96753 340207217.07874 70.21530 2684629838.15574 12744.89637 0.00000 0.02118 5790604.86871 8213323.94080 3921977584158.41602 2.00000 0.00000 
5626747.96753 339972945.46122 70.16999 2682781163.22982 12736.12455 0.00000 0.02117 5786617.37445 8207668.12715 3921977584158.41602 2.00000 0.00000 
5627747.96753 339738700.91296 70.12468 2680932701.91173 12727.35373 0.00000 0.02115 5782630.34093 8202012.96701 3921977584158.41602 2.00000 0.00000 
5628747.96753 339504456.36473 70.07937 2679084240.59363 12718.58290 0.00000 0.02114 5778643.30741 8196357.80687 3921977584158.41602 2.00000 0.00000 
5629747.96753 339270211.81650 70.03405 2677235779.27551 12709.81206 0.00000 0.02113 5774656.27389 8190702.64672 3921977584158.41602 2.00000 0.00000 
5630747.96753 339035967.26830 69.98872 2675387317.95737 12701.04122 0.00000 0.02111 5770669.24037 8185047.48658 3921977584158.41602 2.00000 0.00000 
5631747.96753 338801918.55563 69.94343 2673540402.00880 12692.27770 0.00000 0.02110 5766685.54013 8179397.05432 3921977584158.41602 2.00000 0.00000 
5632747.96753 338567881.81971 69.89813 2671693580.57055 12683.51461 0.00000 0.02108 5762702.04375 8173746.91121 3921977584158.41602 2.00000 0.00000 
5633747.96753 338333845.08380 69.85283 2669846759.13228 12674.75152 0.00000 0.02107 5758718.54736 8168096.76809 3921977584158.41602 2.00000 0.00000 
5634747.96753 338099808.34791 69.80752 2667999937.69399 12665.98842 0.00000 0.02106 5754735.05098 8162446.62498 3921977584158.41602 2.00000 0.00000 
5635747.96753 337865774.62537 69.76221 2666153140.03433 12657.22543 0.00000 0.02104 5750751.60588 8156796.55461 3921977584158.41602 2.00000 0.00000 
5636747.96753 337631941.94027 69.71694 2664307928.79334 12648.46995 0.00000 0.02103 5746771.58261 8151151.33772 3921977584158.41602 2.00000 0.00000 
5637747.96753 337398109.25518 69.67165 2662462717.55234 12639.71446 0.00000 0.02101 5742791.55933 8145506.12082 3921977584158.41602 2.00000 0.00000 
5638747.96753 337164276.57011 69.62636 2660617506.31132 12630.95897 0.00000 0.02100 5738811.53606 8139860.90392 3921977584158.41602 2.00000 0.00000 
5639747.96753 336930443.88506 69.58107 2658772295.07029 12622.20347 0.00000 0.02099 5734831.51278 8134215.68703 3921977584158.41602 2.00000 0.00000 
5640747.96753 336696628.07974 69.53577 2656927217.02984 12613.44858 0.00000 0.02097 5730851.77681 8128570.87764 3921977584158.41602 2.00000 0.00000 
5641747.96753 336462999.08997 69.49051 2655083613.18078 12604.70069 0.00000 0.02096 5726875.22060 8122930.57838 3921977584158.41602 2.00000 0.00000 
5642747.96753 336229370.10022 69.44524 2653240009.33169 12595.95279 0.00000 0.02094 5722898.66438 8117290.27912 3921977584158.41602 2.00000 0.00000 
5643747.96753 335995741.11048 69.39996 2651396405.48259 12587.20488 0.00000 0.02093 5718922.10817 8111649.97986 3921977584158.41602 2.00000 0.00000 
5644747.96753 335762112.12076 69.35468 2649552801.63348 12578.45696 0.00000 0.02092 5714945.55195 8106009.68060 3921977584158.41602 2.00000 0.00000 
5645747.96753 335528512.95453 69.30940 2647709433.12619 12569.71014 0.00000 0.02090 5710969.50336 8100370.10134 3921977584158.41602 2.00000 0.00000 
5646747.96753 335295087.30552 69.26415 2645867433.87103 12560.96982 0.00000 0.02089 5706996.40817 8094734.71116 3921977584158.41602 2.00000 0.00000 
5647747.96753 335061661.65652 69.21889 2644025434.61585 12552.22949 0.00000 0.02088 5703023.31298 8089099.32097 3921977584158.41602 2.00000 0.00000 
5648747.96753 334828236.00754 69.17363 2642183435.36066 12543.48915 0.00000 0.02086 5699050.21779 8083463.93079 3921977584158.41602 2.00000 0.00000 
5649747.96753 334594810.35857 69.12836 2640341436.10545 12534.74880 0.00000 0.02085 5695077.12259 8077828.54060 3921977584158.41602 2.00000 0.00000 
5650747.96753 334361427.53132 69.08309 2638499774.76322 12526.01004 0.00000 0.02083 5691104.75626 8072194.18422 3921977584158.41602 2.00000 0.00000 
5651747.96753 334128209.58584 69.03785 2636659414.52935 12517.27745 0.00000 0.02082 5687135.19636 8066563.80844 3921977584158.41602 2.00000 0.00000 
