# t     n_CO      n_C      n_O       n_solidC    n_Mg      	n_Si      n_SiO    n_Mg2SiO4  n_H    ncritical_Cg     ncritical_Sig
5724247.96753 314846360.69765 151.66587 2485459034.21148 0.00248 105.89912 0.01919 6417312.65324 6542206.85786 3921977584158.41602 2.00000 2.00000 
5725247.96753 314555257.56798 151.52825 2483161008.91699 0.00249 105.77309 0.01917 6411379.26972 6536158.02679 3921977584158.41602 2.00000 2.00000 
5726247.96753 314264391.57693 151.39073 2480864855.64135 0.00249 105.64723 0.01915 6405450.71969 6530114.12320 3921977584158.41602 2.00000 2.00000 
5727247.96753 313973525.58589 151.25321 2478568702.36575 0.00250 105.52145 0.01914 6399522.16970 6524070.21956 3921977584158.41602 2.00000 2.00000 
5728247.96753 313682659.59485 151.11568 2476272549.09019 0.00250 105.39575 0.01912 6393593.61976 6518026.31588 3921977584158.41602 2.00000 2.00000 
5729247.96753 313391793.60382 150.97815 2473976395.81466 0.00251 105.27014 0.01910 6387665.06986 6511982.41216 3921977584158.41602 2.00000 2.00000 
5730247.96753 313100944.25179 150.84062 2471680373.89068 0.00251 105.14463 0.01909 6381736.85914 6505938.85413 3921977584158.41602 2.00000 2.00000 
5731247.96753 312810326.35393 150.70319 2469386179.11145 0.00252 105.01927 0.01907 6375813.36605 6499900.10546 3921977584158.41602 2.00000 2.00000 
5732247.96753 312519708.45608 150.56576 2467091984.33225 0.00253 104.89400 0.01905 6369889.87300 6493861.35675 3921977584158.41602 2.00000 2.00000 
5733247.96753 312229090.55824 150.42833 2464797789.55310 0.00253 104.76881 0.01903 6363966.37999 6487822.60800 3921977584158.41602 2.00000 2.00000 
5734247.96753 311938472.66040 150.29089 2462503594.77398 0.00254 104.64371 0.01902 6358042.88703 6481783.85920 3921977584158.41602 2.00000 2.00000 
5735247.96753 311647868.52964 150.15345 2460209508.67485 0.00254 104.51870 0.01900 6352119.67471 6475745.39643 3921977584158.41602 2.00000 2.00000 
5736247.96753 311357512.52484 150.01612 2457917381.33079 0.00255 104.39386 0.01898 6346201.51983 6469712.08943 3921977584158.41602 2.00000 2.00000 
5737247.96753 311067156.52004 149.87879 2455625253.98677 0.00256 104.26910 0.01896 6340283.36499 6463678.78240 3921977584158.41602 2.00000 2.00000 
5738247.96753 310776800.51525 149.74145 2453333126.64279 0.00256 104.14443 0.01895 6334365.21020 6457645.47532 3921977584158.41602 2.00000 2.00000 
5739247.96753 310486444.51046 149.60411 2451040999.29885 0.00257 104.01984 0.01893 6328447.05544 6451612.16820 3921977584158.41602 2.00000 2.00000 
5740247.96753 310203803.45926 149.47048 2448809775.31437 0.00257 103.89792 0.01891 6322686.14971 6445739.17041 3921977584158.41602 2.00000 2.00000 
5741247.96753 310143281.25669 149.44387 2448332001.16429 0.00258 103.85045 0.01891 6321452.55073 6444481.59042 3921977584158.41602 2.00000 2.00000 
5742247.96753 310082759.05412 149.41726 2447854227.01422 0.00259 103.80301 0.01891 6320218.95177 6443224.01041 3921977584158.41602 2.00000 2.00000 
5743247.96753 310022236.85156 149.39064 2447376452.86416 0.00260 103.75559 0.01890 6318985.35282 6441966.43039 3921977584158.41602 2.00000 2.00000 
5744247.96753 309961714.64901 149.36402 2446898678.71410 0.00260 103.70820 0.01890 6317751.75388 6440708.85036 3921977584158.41602 2.00000 2.00000 
5745247.96753 309901193.01624 149.33739 2446420909.06201 0.00261 103.66082 0.01890 6316518.16657 6439451.28216 3921977584158.41602 2.00000 2.00000 
5746247.96753 309840726.30724 149.31079 2445943572.98893 0.00262 103.61349 0.01889 6315285.69874 6438194.85521 3921977584158.41602 2.00000 2.00000 
